timestamp|scope|type|content
2024/06/25 22:15:52|⚡ API|INFO|Api started at 3175
2024/06/25 22:15:56|🕹️ HealthController:get|INFO|System checking health...
2024/06/25 22:15:56|🕹️ HealthController:get|INFO|Returning the response
2024/06/25 22:16:27|🕹️ HealthController:get|INFO|System checking health...
2024/06/25 22:16:27|🕹️ HealthController:get|INFO|Returning the response
2024/06/25 22:16:40|🕹️ UserController:getOne|INFO|Getting user info
2024/06/25 22:16:40|🕹️ UserController:getOne|INFO|Returning response
