timestamp|scope|type|content
2024/06/24 20:15:12|⚡ API|INFO|Api started at 3175
2024/06/24 20:15:15|🕹️ HealthController:get|INFO|System checking health...
2024/06/24 20:15:15|🕹️ HealthController:get|INFO|Returning the response
2024/06/24 20:39:59|🕹️ UserController:getOne|INFO|Getting user info
2024/06/24 20:39:59|🕹️ UserController:getOne|INFO|Returning response
2024/06/24 20:40:04|🕹️ UserController:getOne|INFO|Getting user info
2024/06/24 20:40:04|🕹️ UserController:getOne|INFO|Returning response
2024/06/24 20:41:55|🕹️ UserController:getOne|INFO|Getting user info
2024/06/24 20:41:55|🕹️ UserController:getOne|INFO|Returning response
